;0
0;" more options             2022 Market Data Analyst (Chinese Speaker) - Hong Kong              Bloomberg LP                        Hong Kong, Hong Kong SAR                       1 week ago                            116 applicants                Full-time10,001+ employees · Financial Services2 connections · 10 school alumniSee how you compare to 116 applicants. Try Premium for freeActively recruiting     Apply         Save            Save 2022 Market Data Analyst (Chinese Speaker) - Hong Kong at Bloomberg LP                     2022 Market Data Analyst (Chinese Speaker) - Hong Kong            Bloomberg LPHong Kong, Hong Kong SAR      Apply         Save            Save 2022 Market Data Analyst (Chinese Speaker) - Hong Kong at Bloomberg LP                  Show more options                          Bloomberg runs on data, and data drives the market. Our Global Data team acquires and supplies this data to our clients. Teams work collaboratively to collect, analyse, process and publish the data which is the backbone of our iconic Bloomberg Terminal - the data ultimately feeding and moving the financial markets.In Global Data, you will apply your problem-solving skills to identify innovative workflow efficiencies, implement technical solutions to enhance our systems, products and processes, establish links with key players in the financial market by providing exceptional client support, and manage the financial data that feeds the Bloomberg Terminal.As a Data Analyst, you have the opportunity to develop subject matter expertise on a specific product while utilizing your technical abilities to improve data management processes.Analysts have a platform to move from one product to the other, every few years, based on their interests throughout their career in Global Data. There is growth potential within the department to take on more senior data analyst, data scientist or leadership roles.The Role:Data Analysts possess a unique combination of technical skills and business insight, as well as strong communication and ability to build relationships. They use these skills to extract, transform and load timely, accurate and comprehensive data accessible to our clients across various Bloomberg platforms. They play a key role in evolving our products and processes, which makes the role challenging and entrepreneurial. Assisting our clients with their data queries is also key to the role.We""ll trust you to: Utilise a variety of software solutions to extract and rationalise data to Bloomberg taxonomies Provide in-depth customer support to users of Bloomberg products by resolving inquiries in a timely manner Implement business rules for programmatic data validation by codifying market conventions and/or data relationships Design and manage workflow configurations for critical functions such as acquisition, worklist management, and quality control Build subject matter expertise and technical skills to generate premium content, including data-driven news stories Analyse internal processes to identify opportunities for improvement, as well as devise and implement innovative solutions Lead ad hoc projects to optimize processes and/or improve the quality of the data set  Utilise statistics and data visualization skills to report on results of on-going operations and projects, as required  Partner with a wide variety of stakeholders from Engineering to Sales on product developmentYou""ll need to have: A bachelor's degree, preferably with combined studies in Information Systems and Finance, or related business and STEM fields Strong passion for data, technology and finance Proficiency in one or more technical tools such as Python, SQL and R, demonstrated through projects or work experience Fluency in English and Chinese (both written and verbal) Excellent written and oral communication skills Interest and/or experience in client and stakeholder management Understanding and experience of statistics and data modeling and Data Analysis  Solid attention to detail and strong evidence of decision-making and problem solving skills Ability to think creatively and provide out of the box solutions Eagerness to learn and collaborate Adaptability in a frequently changing environmentWe""d love to see: Prior experience in information technology, engineering, finance, data analysis or research Exposure to Bloomberg products such as the Professional Service Established presence in virtual development communities such as GitHub, Stack Overflow and HackerRank Familiarity with Data Science and/or Machine Learning Experience using data visualization tools such as Tableau or QlikSense Does this sound like you?Apply if you think we're a good match. We'll get in touch to let you know what the next steps are! Please note this is a two stage application process, following the submission of your candidate details you will receive an email with directions to complete an online assessment. Your application will not be complete until you have submitted the assessment.In the meantime feel free to have a look at this: https://www.bloomberg.com/careers/global-data/We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, colour, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.Bloomberg is a disability inclusive employer. Please let us know if you require any reasonable adjustments to be made for the recruitment process. If you would prefer to discuss this confidentially, please email access2@bloomberg.net.          "
1;Bachelor or above degree in statistics, computer science, applied sciences or understanding of data science theoryPast internship experience as a business intelligence or data analytics roleProjects or internship experience in applying Visualization, Tableau or other BI Tools for reporting and analysesProficiency in SQLGood command of English  
2;)Experience in management consultingExpert in one data analysis package, such as R, Python or VBAExperience with dashboarding / visualization software like TableauWhat We Offer Be part of a dynamic and exciting data-driven multinational team in a successful and fast growing tech companyA clearly defined career path will help you to continuously develop your skillsThe chance to propose ideas to improve operations based on data and have an impact on the customer experienceBenefit :Relocation package for employees joining from abroadInternational health insuranceAnnual performance bonusParking fees reimburseDiscount for Agoda employee booking on Agoda.com#STRA#ANLS#MRKT#3 #sanfrancisco #sanjose #losangeles #sandiego #oakland #denver #miami #orlando #atlanta #chicago #boston #detroit #newyork #portland #philadelphia #dallas #houston #austin #seattle #washdc #tirana #yerevan #sydney #melbourne #perth #vienna #graz #linz #baku #minsk #brussels #antwerp #ghent #charleroi #liege #saopaolo #sofia #toronto #vancouver #montreal #shanghai #beijing #shenzhen #zagreb #cyprus #prague #Brno #Ostrava #copenhagen #cairo #alexandria #giza #estonia #helsinki #paris #nice #marseille #rouen #lyon #toulouse #tbilisi #berlin #munich #hamburg #stuttgart #cologne #frankfurt #dusseldorf #dortmund #essen #Bremen #leipzig #dresden #hanover #nuremberg #athens #hongkong #budapest #bangalore #newdelhi #jakarta #bali #bandung #dublin #telaviv #milan #rome #naples #turin #palermo #venice #bologna #florence #tokyo #osaka #yokohama #nagoya #okinawa #fukuoka #sapporo #amman #irbid #riga #beirut #tripoli #vilnius #luxembourg #kualalumpur #malta #chisinau #amsterdam #oslo #jerusalem #manila #warsaw #krakow #sintra #lisbon #porto #braga #cascais #loures #amadora #almada #doha #alrayyan #bucharest #moscow #saintpetersburg #riyadh #jeddah #mecca #medina #belgrade #singapore #bratislava #capetown #johannesburg #seoul #barcelona #madrid #valencia #seville #bilbao #malaga #oviedo #alicante #laspalmas #zaragozbanga #stockholm #zurich #geneva #basel #taipei #tainan #taichung #kaohsiung #Phuket #bangkok #istanbul #ankara #izmir #dubai #abudhabi #sharjah #london #manchester #liverpool #edinburgh #kiev #hcmc #hanoi #sanaa #taiz #aden #gibraltar #marrakech #lodz #wroclaw #poznan #Gdansk #szczecin #bydgoszcz #lublin #katowice #rio #salvador #fortaleza #brasilia #belo #belem #manaus #curitiba #portoalegre #saoluisdata representation data analysis SQL data analytics analytics python (programming language) data mining data science r (programming language) tableau analytical skills data visualization databases business analysis business intelligence (bi) microsoft sql server machine learning statistics microsoft power bi java finance shopee traveloka google facebook ctrip trip.com makemytrip grab amazon pandas (software) artificial intelligence (ai) information technology capital one accenture upwork deloitte mckinsey bain microsoft uber lyft gojek lazada alibaba shopify expedia skyscannerEqual Opportunity Employer At Agoda, we pride ourselves on being a company represented by people of all different backgrounds and orientations. We prioritize attracting diverse talent and cultivating an inclusive environment that encourages collaboration and innovation. Employment at Agoda is based solely on a person’s merit and qualifications. We are committed to providing equal employment opportunity regardless of sex, age, race, color, national origin, religion, marital status, pregnancy, sexual orientation, gender identity, disability, citizenship, veteran or military status, and other legally protected characteristics.We will keep your application on file so that we can consider you for future vacancies and you can always ask to have your details removed from the file. For more details please read our privacy policy .To all recruitment agencies: Agoda does not accept third party resumes. Please do not send resumes to our jobs alias, Agoda employees or any other organization location. Agoda is not responsible for any fees related to unsolicited resumes.  
3;Partner with product stakeholders to make data-driven decisions across the organization by leveraging descriptive and predictive analytics where it will have material impactCommunicate analysis and insights to stakeholders in verbal, visual, and written mediaLead the data strategy of product engineering, influencing them to make well-informed architecture and design decisions that affect dataRecommend logging throughout the product to effectively analyze user behaviorProvide comprehensive day-to-day analytics support to partner teams, develop tools and dashboards to empower data access and self-serviceBenefitsWe offer an attractive compensation package working in a cutting-edge field of Fintech.Huge responsibilities from Day 1. Be the owner of your own learning curve. The possibilities are limitless and depend on youYou get to work in a very dynamic environment and be part of an international teamYou will get to have involvement in developing a brand new product from scratch alongside with a talented team  
4; more options             Data Analyst - Digital Transformation              HOME+                        Hong Kong, Hong Kong SAR          On-site            9 hours ago                            9 applicants                Full-time51-200 employeesSee recent hiring trends for HOME . Try Premium for freeActively recruiting     Easy Apply         Save            Save Data Analyst - Digital Transformation at HOME+                     Data Analyst - Digital Transformation            HOME+Hong Kong, Hong Kong SAROn-site     Easy Apply         Save            Save Data Analyst - Digital Transformation at HOME+                  Show more options                   Posted by                  Aisling Lee             Human Resources | Assistant - Talent Services at HKBN                   Send InMailTo be part of our mission, we are looking for a Data Analyst (Marketing Focus) with…Effective negotiating, time-management and communication skillsConfident, assertive yet collaborative approach, organized, ability to motivate team membersArticulate with the ability to clearly explain business topicsTech savvy with good understanding of digital, technology terms and mechanisms to manage digital platform developmentsAbility to work under pressure and prioritize workloadSelf-motivated, self-managing and target drivenHigh integrity and ethical standardWhat efforts you need to make?Responsible for digital data and customer behavior analysis, web/app platform performance analysis and digital journey optimization.Apply the market trends and best practices such as App Indexing, Web & App AnalysisWork closely with business divisions and IT to manage digital platform developmentsWork closely with cross-functional teams and manage marketing support such as gather market intelligence, program logistics formulation, etcExecute digital-related strategies devised by business divisions to support business goals and support project managementConstantly strive for new/innovated ideas and solutions for the business and marketing campaignsLet's check if you are…Degree in Marketing / Business Management / Statistics / Data Science / Information System or related discipline preferredMinimum 3 years of work experience in Consulting / Digital Marketing / Data Analysis related experienceKnowledge in Google Analytic, Firebase, BigQuery, Omniture is preferredTechnically Proficient in data analysis using SQL, SAS, VBA, R is preferredSolid consultancy experience is preferredPossessed enterprising mindset with the ability to handle multiple priorities.Focus and organized with the ability to optimize business initiativesProfessional in spoken and written English and CantoneseCandidates with more experience will be considered as Senior Data Analyst﻿What you get in return…Apart from competitive salary package and benefits, in HKBN, you will work flexibly under our Talent-first culture and we uphold Life-Work Priority. Examples of our flexible initiatives:Five-day work week and shorten working hours (8 hours including 1 hour 15 mins meal break)Half Day Off Friday once a month (compensation leave for Talents who work on shift)Half Day Off on Festival Eve (compensation leave for Talents who work on shift)Unique leaves arrangement: Family-care leave, Anniversary leave, Bonus leave, Volunteer leave, Sabbatical leave, etc.Comprehensive medical and life insurance coverageUpgraded maternity leave and paternity leaveDiscounted Talent plan offers including broadband and mobile plans and other promoted productsEducation subsidies and Examination leaveYear-end discretionary bonus  
5;:Business school or University degree in technical or quantitative discipline (Mathematics, Economics, Statistics, Computer Science, Engineering)Strong aptitude for determining the optimal way to position products in the market Experience with metrics driven-decision making2+ years’ experience doing quantitative analysis or similar (manipulation and analysis of large data sets)genuine passion for games and their creation as well as knowledge of the latest titles and trends in Blockchain gaming will be a plusGood working knowledge of basic statistical techniques to build intelligent tools. Very good knowledge of techniques, software or systems for data analysis or languages such as R, Matlab and PythonStrong SQL skills (experience with MySQL is a plus!)Exposure to visualization and reporting tools such as TableauA solid quantitative background (mathematics, statistics, computer science, etc…) is strongly preferredNice to have:Experience or an understanding of NFT’s, blockchain technology or cryptocurrency Employment Perks5-day work week15 days annual leaveTransportation allowanceMedical, Life & Personal Accident insuranceCasual work attireFree coffee, tea and fruit dailyMulti-cultural work environment (15 nationalities and counting!)Flat company structure: your ideas get heard by the right people very quicklyRegular (and fun) company activitiesOther leaves (Marriage Leave, Compassionate Leave, Exam Leave) Working visa sponsorship and relocation allowance will be provided for non-Hong Kong candidates.  
6; To Have Bachelor's degree in Business, Finance, Accounting, or related field Demonstrated project, work experience, or coursework that shows your experience and knowledge in the financial markets Knowledge of accounting principles, prior experience interpreting financial statements, and knowledge of quantitative financial analysis Intermediate proficiency in Excel and VBA (for data cleaning, analysis and visualisation purposes). Experience conducting research and relaying findings in a succinct, concise manner with the ability to identify key industry performance indicators, players and trendsetters Excellent written and verbal communication in English and ChineseWe'd Love To See Previous application of Python for data management (Pandas, Numpy) CFA designation (or working towards it) Experience transforming workflows into more timely and efficient processes An ability to meet deadlines, logically tackle problems and set priorities The ability to thrive and deliver in a dynamic environmentIf This Sounds Like YouApply! If we believe you're a good match we'll get in touch to let you know the next steps.We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.Bloomberg is a disability inclusive employer. Please let us know if you require any adjustments to be made for the recruitment process by emailing access2@bloomberg.net.  
7; :-At least 6-8 years of work experience in a business intelligence or data analytics roleEducational background in statistics, computer science, other applied sciences or understanding of data science theoryExperience in applying Visualization, Statistical Inference and other Data Mining techniques on variety of dataProficiency in SQL and Python/R. Comfortable with Linux and Git commandsExperience using Tableau or other BI Tools for reporting and analysesGood command of EnglishCandidate with more experience will be considered for the role of Senior Data Analyst.  
8; Education: Bachelor’s degree or above in Statistics, Data Analysis, Business or Engineering.  3-5 years of relevant experience in business analytics, preferably with brands related to travel retail or luxury market.  Strong analytical skills and highly advanced abilities with data analysis and visualization tools (such as Excel, Access, Power BI, SAP Analytics)  Result orientated, self-motivated, dedicated, enthusiastic and energetic  Able to work with all levels of people  Team player  Languages: Fluent in English (both spoken and written)  Other language (Mandarin, Cantonese, French) is a plus.  
9;Bachelor's or Master's degree in Statistics or Applied Mathematics or equivalent experience 1 - 2 years' Data Analysis experience Proficient in SQL  
